"age","default","balance","housing","loan","duration","campaign","previous"
35,0,0,1,0,477,1,0
45,0,295,1,0,92,1,0
35,0,847,1,0,85,2,0
37,0,487,0,1,155,15,0
48,0,0,1,0,85,1,2
30,0,3809,1,0,159,4,0
75,0,852,0,0,341,1,0
41,0,1459,0,0,82,1,0
51,0,-892,1,1,248,2,0
27,0,376,1,1,273,1,0
43,0,58,1,0,48,4,0
73,0,279,0,0,399,3,0
31,0,1750,1,0,90,3,0
46,0,-90,0,1,270,1,0
49,0,273,0,0,58,1,0
44,0,3706,0,0,209,3,0
49,0,1623,1,0,1081,2,0
25,0,-352,0,0,246,1,0
49,0,443,0,0,27,6,0
53,0,665,1,0,371,2,0
32,0,604,0,1,95,3,0
34,0,178,1,0,14,2,0
37,0,196,1,0,66,3,0
58,0,235,0,0,88,4,0
26,1,-3,1,0,181,5,0
44,0,13893,0,0,29,2,0
30,0,2325,0,0,270,3,4
81,0,1,0,0,65,5,0
32,0,84,0,1,403,3,0
31,0,25,0,0,169,5,0
55,0,627,1,0,247,1,0
39,0,260,1,0,146,1,1
36,0,1327,0,0,174,2,0
49,0,2146,1,0,1516,2,2
35,0,0,0,0,106,4,0
27,0,446,0,0,205,3,0
34,0,6979,1,0,14,5,0
53,0,995,0,0,200,3,0
37,0,11303,0,0,500,2,0
37,0,105,0,1,260,4,0
31,0,0,1,1,79,3,0
45,0,2048,1,0,310,1,1
46,0,834,1,0,196,2,0
51,0,78,1,0,723,2,0
59,0,1173,0,0,77,2,0
40,0,257,1,0,731,4,0
48,0,1266,1,0,45,1,0
47,0,2597,1,0,323,1,0
37,0,48,0,0,140,2,0
58,0,331,0,1,82,3,0
31,0,2488,1,0,14,1,0
36,0,1587,1,0,200,2,0
53,0,26,1,0,56,1,1
32,0,2366,1,0,127,2,0
40,0,10378,1,0,523,3,0
34,0,516,1,1,26,1,0
63,0,3904,0,0,250,2,2
47,0,2443,0,0,422,1,0
32,0,357,1,0,175,2,0
44,0,316,1,0,163,3,0
50,0,1240,0,0,474,2,0
40,0,2715,1,0,125,2,0
43,0,291,1,0,150,2,0
40,0,1532,1,1,173,7,0
44,0,262,1,0,74,1,0
36,0,9149,1,0,141,3,0
38,0,669,1,1,129,2,0
41,0,5310,1,0,984,1,0
21,0,6,0,0,622,1,0
38,0,6728,0,0,232,1,4
50,0,665,0,0,238,1,0
26,0,1216,1,0,472,2,0
38,0,2008,1,0,354,1,0
31,0,187,0,0,86,1,0
40,0,1819,0,0,398,2,0
30,0,1476,1,1,199,4,0
46,0,477,1,0,128,6,0
56,0,4063,0,1,31,4,0
57,0,14093,0,0,231,5,0
40,0,271,1,0,483,2,0
32,0,2979,0,0,156,1,0
31,0,3242,0,0,292,2,0
26,0,63,0,0,76,4,0
39,0,835,1,0,587,4,0
42,0,-91,1,1,43,1,0
41,0,-516,0,1,554,3,0
40,0,60,0,0,172,6,0
54,0,865,1,0,71,1,0
29,0,43,1,0,68,2,0
34,0,61,0,1,21,1,0
38,0,917,1,0,260,1,0
50,0,8139,1,0,256,6,0
26,0,3672,1,0,360,5,0
54,0,153,1,1,74,1,0
44,0,0,0,0,56,2,0
39,0,585,1,0,48,1,3
36,0,998,1,0,1044,2,0
57,0,49,1,1,93,4,0
43,0,1017,1,0,257,2,0
67,0,701,0,0,254,2,0
31,0,2395,0,0,218,1,0
34,0,2,1,1,184,1,6
48,1,-285,0,1,157,1,0
50,0,567,1,0,274,8,0
26,0,1177,0,0,116,1,0
35,0,321,1,0,189,1,0
35,0,0,0,0,125,2,0
34,0,393,1,0,11,9,0
59,0,0,1,0,52,8,0
54,0,895,0,0,335,1,0
38,0,0,1,0,537,5,2
40,0,0,1,1,57,1,0
39,0,0,1,0,46,2,0
36,0,1582,0,0,26,2,1
50,0,59,1,0,67,2,0
60,0,759,0,0,136,2,0
30,0,1772,1,0,158,4,0
37,0,-67,0,0,157,1,0
38,0,1146,1,0,91,2,0
34,0,-62,1,0,109,3,0
36,0,474,1,0,59,1,0
36,0,-461,0,0,254,2,1
32,0,883,1,0,798,1,5
32,0,151,1,0,118,1,0
30,0,334,0,0,389,2,0
55,0,955,1,0,104,1,0
48,0,-471,1,0,668,7,0
32,0,3616,0,0,165,2,0
29,0,486,0,0,95,1,0
43,0,487,1,0,548,2,0
46,0,451,1,1,389,4,0
31,0,395,1,0,155,3,0
44,0,2776,1,0,701,1,0
42,0,782,0,0,285,1,0
33,0,697,0,0,860,2,0
50,0,12519,1,0,146,2,4
26,0,543,0,0,169,3,0
30,0,946,1,0,1065,1,1
29,0,57,1,0,342,9,0
33,0,349,0,0,182,1,0
37,0,20453,1,0,115,1,0
25,0,553,1,0,113,4,1
50,0,231,1,0,397,2,0
32,0,66,0,0,244,1,0
39,0,385,1,0,225,4,0
41,0,369,1,0,9,3,0
20,0,291,0,0,172,5,5
32,0,930,0,0,85,7,0
52,0,-97,1,1,167,4,0
44,0,271,1,1,94,1,0
56,0,784,0,1,149,2,0
36,0,1746,1,0,15,1,1
27,0,235,1,0,13,5,0
39,1,3,0,0,488,1,0
37,0,393,1,0,567,3,4
34,0,136,1,0,156,1,0
55,0,559,0,0,271,2,0
31,0,0,1,1,144,2,0
40,0,92,1,0,92,1,0
50,0,3025,0,1,168,3,0
28,0,4937,1,0,421,3,0
32,0,1218,1,0,70,2,0
30,0,178,1,0,747,5,0
30,0,-393,1,1,435,1,0
31,0,1384,1,0,203,2,3
41,0,1602,1,0,142,1,0
33,0,71,0,0,107,6,0
30,0,673,1,0,610,2,0
58,0,73,0,0,116,1,0
36,0,475,0,0,141,3,0
41,0,429,1,0,244,1,0
54,0,1480,1,0,108,1,0
35,0,1287,1,0,330,2,0
33,0,687,1,0,72,2,1
51,0,-28,0,1,220,2,0
33,0,2727,0,0,205,3,0
45,0,0,1,0,100,3,0
57,0,13,1,0,323,2,2
44,0,0,0,0,264,5,0
36,0,197,0,0,260,1,0
33,0,331,1,0,178,7,5
47,0,668,0,0,908,1,0
61,0,997,0,0,106,1,0
23,0,250,1,0,222,1,0
34,0,79,1,0,83,1,0
41,0,6046,1,1,300,6,2
56,0,420,1,0,76,1,0
34,0,876,1,0,145,2,0
59,0,3163,1,0,240,2,0
30,1,447,0,0,103,6,0
28,0,1065,1,1,406,1,1
37,0,79,0,0,191,1,0
42,0,42045,0,0,205,2,0
46,0,3098,1,0,192,9,0
44,0,1146,0,0,178,2,0
37,0,490,1,0,73,1,0
47,0,209,1,0,135,2,0
25,0,242,1,0,62,12,0
45,0,7108,1,1,53,1,3
19,0,103,0,0,104,2,0
31,0,1407,1,0,142,3,0
40,0,462,1,1,272,1,4
32,0,950,1,1,219,4,0
42,0,525,0,0,127,2,0
51,0,-13,1,0,361,1,1
27,0,-124,0,0,217,1,0
39,0,1439,1,0,73,6,0
48,0,1167,1,1,264,1,0
33,0,706,1,0,329,1,1
46,0,964,1,0,174,1,0
33,0,148,0,0,717,1,0
37,0,685,1,0,968,1,0
39,0,994,0,0,221,1,1
35,0,57,0,1,632,2,0
36,0,957,1,0,206,1,0
39,0,0,0,0,731,1,3
44,0,244,1,0,1735,4,0
57,0,3431,1,0,73,1,0
57,0,1602,0,0,339,3,0
38,0,-278,1,0,143,2,0
36,0,774,1,0,231,2,1
49,0,249,1,0,450,1,0
50,0,2320,1,0,310,1,0
28,0,1466,1,0,40,1,0
32,0,1097,1,0,298,2,0
29,0,486,1,0,422,1,1
31,0,296,1,0,378,3,0
54,0,-630,0,0,173,1,0
52,0,1944,1,0,238,3,2
40,0,260,0,0,52,1,6
31,0,500,1,0,19,18,0
58,0,5920,1,0,255,1,0
75,0,1341,0,0,415,7,0
47,0,8515,1,0,14,7,4
56,0,-113,1,1,614,2,0
45,0,128,0,1,275,2,0
32,0,300,0,0,166,2,0
31,0,620,0,0,95,1,0
49,0,755,0,0,1212,4,0
36,0,470,1,0,101,4,0
28,0,102,0,0,321,2,0
34,0,37,0,0,45,1,0
33,0,575,0,1,254,2,0
52,0,424,0,0,143,1,3
40,1,0,1,0,64,2,0
47,0,2246,1,0,330,1,0
34,0,3050,1,0,469,1,0
34,0,1,0,0,582,1,0
31,0,85,0,0,151,1,0
55,0,136,1,0,15,10,0
30,0,4213,0,0,142,4,0
52,0,98,0,1,148,1,0
60,0,0,0,0,130,3,0
53,0,1034,1,0,854,2,3
34,0,3301,1,0,485,2,4
46,0,295,1,0,141,6,0
53,0,4,0,0,19,6,0
29,0,437,0,0,504,1,1
32,0,474,1,0,90,3,0
40,0,0,0,0,58,7,0
30,0,868,0,0,387,2,0
34,0,712,1,0,326,3,0
37,0,1040,1,0,199,1,2
54,0,1012,1,0,33,3,2
55,0,150,0,0,124,1,0
53,0,28,0,0,117,2,0
36,0,243,1,0,160,2,3
31,0,-495,1,0,334,2,0
45,0,44,0,0,81,1,0
33,0,3132,1,0,350,5,0
29,0,9,1,0,262,3,0
53,0,25,0,0,528,2,0
26,0,127,1,1,85,3,0
48,0,4265,1,0,220,2,0
32,0,5122,0,0,31,1,0
59,0,0,0,0,167,2,0
29,0,0,0,0,16,25,0
38,0,410,0,0,63,6,0
33,0,4897,1,0,151,1,0
51,0,500,1,0,26,6,0
45,0,2571,0,0,146,2,0
50,0,579,0,0,83,4,0
38,0,1704,0,0,222,1,0
27,0,49,1,0,208,2,0
41,0,0,0,1,107,1,0
49,0,1672,0,0,128,3,0
28,0,80,0,0,676,2,2
54,0,0,0,0,159,2,6
33,0,43,1,0,332,2,2
40,0,98,1,0,193,5,0
49,0,169,1,0,82,3,0
46,0,2558,1,0,107,1,1
44,0,27,0,0,485,1,0
36,0,0,1,0,337,1,0
47,0,1890,0,0,161,1,0
25,0,3217,1,0,24,1,0
41,0,0,1,0,232,3,0
37,0,5355,0,0,466,4,0
47,0,2106,1,0,168,1,0
33,0,4404,1,0,766,3,0
42,0,0,0,0,99,1,0
58,0,2705,0,0,137,1,0
56,0,16873,0,0,223,1,0
43,0,-26,1,0,343,1,0
59,0,879,1,0,228,1,0
33,0,4,1,0,285,5,0
31,0,-280,0,0,281,3,0
24,0,0,0,0,94,1,0
56,0,985,0,1,150,2,0
40,0,1670,1,0,161,2,0
58,0,11,0,0,270,1,0
41,0,55,1,0,185,4,0
56,0,3021,0,0,419,2,0
66,0,2262,0,0,155,1,0
37,0,37,0,0,253,2,0
33,0,1410,1,0,8,1,5
44,0,2657,1,0,202,2,0
31,0,1495,1,1,159,3,0
41,0,849,1,0,72,1,0
61,0,1191,0,0,214,4,0
30,0,101,1,1,187,3,0
77,0,610,0,0,766,3,0
36,0,-148,0,0,144,2,0
40,0,7780,0,0,364,1,1
50,0,452,0,0,181,2,0
38,0,3732,1,0,379,2,0
39,0,562,0,0,303,2,0
60,0,252,1,1,123,2,3
33,0,181,1,1,265,2,0
53,0,306,0,0,388,3,1
38,0,2278,1,1,244,1,0
50,0,276,0,1,641,6,0
36,0,1477,0,0,71,2,0
20,0,502,0,0,261,1,0
46,0,96,0,0,151,2,0
32,0,1464,1,0,193,1,0
41,0,552,1,0,463,1,0
30,0,648,1,1,287,1,0
46,0,-154,1,1,107,2,0
33,0,640,1,0,439,3,0
38,0,0,1,0,580,1,1
51,0,1291,1,0,51,2,0
39,0,471,0,0,5,1,0
36,0,3611,1,0,347,3,0
53,0,1378,1,0,91,2,0
60,0,598,0,1,96,1,0
32,0,948,0,0,204,2,0
37,0,1689,1,0,645,2,0
58,0,9339,1,0,52,3,3
51,0,203,1,0,134,1,5
30,0,123,0,1,66,1,5
28,0,12,1,0,73,3,3
42,0,0,1,0,115,6,0
47,0,0,1,0,676,1,0
29,0,444,1,0,130,4,0
33,0,238,1,1,45,5,0
52,0,657,0,0,398,2,2
31,0,0,0,1,624,6,0
29,0,2929,0,0,91,1,0
36,0,6,0,0,246,1,0
47,0,1996,0,0,761,2,0
47,0,302,1,0,89,3,0
32,0,678,1,0,1579,1,4
33,0,9,0,0,91,2,0
40,0,168,1,0,249,2,1
37,0,1287,1,0,432,1,0
28,0,3238,1,0,7,1,0
27,0,268,1,0,528,1,2
28,0,317,1,0,21,3,0
57,0,1044,0,0,585,1,2
31,0,96,0,0,577,1,0
40,0,-342,1,0,754,1,0
40,0,65,1,0,15,3,0
32,0,1143,1,1,412,1,0
34,0,351,0,1,326,11,0
32,0,739,1,0,91,3,0
50,0,-54,1,1,698,2,1
42,0,-406,1,0,152,5,0
29,0,424,1,1,241,2,0
44,0,5045,1,0,20,6,15
35,0,2189,0,0,256,3,0
36,0,13,0,0,284,1,0
30,0,699,1,0,213,4,0
34,0,544,1,1,58,2,0
32,0,311,0,0,757,2,0
57,0,63,1,0,242,1,0
42,0,2,0,0,249,2,0
55,0,540,0,0,124,2,0
37,0,876,1,0,140,4,2
47,0,3940,1,0,171,2,5
31,0,203,0,1,177,1,0
48,0,316,0,0,560,2,0
50,0,253,1,1,475,2,0
30,0,1942,1,1,436,2,3
42,0,1022,1,0,146,2,0
37,0,655,1,0,127,2,4
46,0,0,1,0,154,1,1
54,0,384,1,0,30,7,0
58,0,407,1,0,145,2,0
28,0,4287,0,0,171,1,0
37,0,4303,1,0,168,1,0
31,0,691,1,0,198,1,0
47,0,1990,1,1,108,4,0
35,0,118,0,0,358,2,0
33,0,-131,1,0,145,1,0
54,0,784,1,1,579,1,0
48,0,6613,0,0,159,3,0
42,0,2980,0,0,101,3,0
49,0,1843,1,0,269,1,0
32,0,656,1,1,148,2,0
45,0,-459,0,0,508,6,0
19,0,302,0,0,205,1,0
60,0,517,0,0,1178,3,0
57,0,887,0,0,43,8,0
37,0,689,1,0,367,2,0
55,0,0,1,0,159,2,0
58,0,602,1,0,201,1,0
60,0,179,0,1,79,4,0
36,0,2987,1,0,307,1,0
38,0,-314,1,0,66,2,0
31,0,459,0,0,13,14,0
46,0,558,0,0,126,6,0
53,0,2231,1,0,272,3,0
28,0,2700,0,0,337,4,0
33,0,291,0,0,72,6,0
30,0,6164,1,0,152,11,0
30,0,1924,0,0,170,1,0
42,0,372,1,1,121,2,0
38,0,2569,0,0,172,1,0
40,0,-17,1,1,474,1,1
31,0,430,1,0,137,16,0
34,0,697,0,0,166,1,0
24,0,4500,1,0,733,2,0
35,0,13,0,0,94,2,0
30,0,569,0,0,976,12,0
39,0,355,1,0,313,5,0
32,1,4,1,1,132,8,0
32,0,739,1,0,171,1,0
42,0,-921,1,0,115,2,0
35,0,1257,1,0,93,3,7
36,0,4280,0,0,227,6,0
35,0,2793,0,0,258,2,0
41,0,-204,1,1,42,1,0
47,0,3973,0,0,732,2,0
36,0,1049,1,0,224,4,0
33,0,0,1,0,351,2,0
28,0,459,0,0,83,13,0
27,0,3083,1,0,244,2,0
38,0,593,1,1,1484,24,0
42,0,2416,1,0,138,4,0
42,0,473,1,0,216,5,0
41,0,641,1,0,161,1,0
33,0,99,0,0,159,1,0
57,0,0,0,0,540,1,0
27,0,0,1,0,198,13,0
59,0,975,1,0,263,4,0
42,0,613,1,0,432,2,0
27,0,-145,1,0,289,8,0
40,0,11084,0,0,113,1,0
26,0,5533,1,0,582,2,4
43,0,297,1,0,119,3,0
42,1,2,1,0,380,1,0
35,0,8652,1,0,103,6,0
33,0,2085,0,0,501,2,0
31,0,315,0,0,130,1,1
35,0,11219,0,0,699,2,1
53,0,2398,1,0,317,1,2
44,0,5181,1,1,18,7,0
24,0,3298,1,0,227,1,0
39,0,1046,0,0,112,4,0
43,0,4094,1,0,63,1,0
48,0,4099,0,0,397,2,0
34,0,6766,0,0,210,5,0
58,0,1382,0,0,700,1,0
55,0,3334,0,0,632,4,0
48,0,9207,0,0,445,3,0
38,0,389,1,0,262,1,0
27,0,3672,1,0,157,2,5
54,0,386,1,0,155,2,0
27,0,6421,0,0,147,4,0
45,0,185,1,0,249,3,0
34,0,464,1,0,173,1,2
43,0,0,0,0,106,4,0
47,0,225,0,0,1126,4,0
23,0,1129,1,0,806,1,0
44,0,93,0,0,125,2,0
47,0,480,1,0,211,2,0
41,0,1666,0,0,291,3,0
46,0,593,1,0,190,3,0
40,0,3571,0,0,222,3,0
34,0,1657,1,0,566,2,4
50,0,202,0,1,148,1,0
48,1,-13,1,0,20,6,2
26,0,443,0,0,84,3,0
33,0,212,1,0,260,2,0
30,0,1211,1,0,176,1,0
36,0,1318,1,0,100,2,0
54,0,208,0,0,255,1,0
48,0,5543,0,0,143,5,0
32,0,574,1,0,259,2,3
29,0,2893,1,0,250,1,0
48,0,507,1,0,528,1,0
41,1,720,0,1,651,1,0
32,0,1,1,0,399,4,0
48,0,108,1,0,89,2,0
42,0,1156,1,0,37,1,0
35,0,0,1,0,90,6,0
56,0,109,0,0,924,4,0
34,0,0,0,0,71,1,0
31,0,68,1,0,570,2,0
51,0,-379,1,0,261,1,0
31,0,35,0,1,229,1,0
30,0,236,1,0,197,1,0
52,0,1339,1,0,343,5,0
36,0,605,1,0,204,1,0
38,0,0,1,0,179,2,0
32,0,0,0,0,123,2,0
52,0,161,1,0,274,2,0
55,0,203,1,0,9,5,12
35,0,793,1,0,106,1,0
51,0,0,0,1,565,3,0
31,0,31,1,1,501,2,0
34,0,5462,0,0,430,1,0
49,0,5996,0,0,345,2,0
33,0,-424,1,0,863,1,0
40,0,542,1,0,1816,1,0
51,0,95,1,0,1309,4,0
56,1,-435,1,1,185,2,0
37,0,695,0,0,233,1,0
32,0,228,0,0,176,1,3
23,0,817,1,0,123,1,0
32,0,0,1,0,746,2,0
49,0,305,1,1,834,10,0
42,0,117,1,0,147,1,0
37,0,0,1,0,217,6,0
32,0,913,1,0,883,1,4
38,0,223,0,0,63,1,0
59,0,351,1,0,1063,5,0
31,0,352,1,0,97,9,0
38,0,902,1,0,58,13,0
30,0,151,0,0,82,4,0
56,0,0,0,1,542,1,0
35,0,39,0,0,149,2,0
36,0,300,0,0,287,1,0
37,0,603,1,0,773,2,0
51,0,35,0,1,123,4,0
32,0,329,1,0,321,1,0
42,0,-679,1,1,159,1,2
45,0,776,1,0,232,4,1
42,0,0,0,0,82,12,0
33,0,249,1,0,61,4,0
37,0,4760,1,0,187,2,0
56,0,1016,1,0,184,5,0
44,0,508,1,0,222,1,1
56,0,401,1,0,26,1,0
36,0,2944,0,0,882,8,0
45,0,49,0,0,65,2,0
47,0,109,1,0,268,1,0
33,0,137,0,1,305,12,0
38,0,424,1,0,279,1,0
31,0,864,1,0,113,2,0
33,0,1439,1,0,178,2,0
47,0,2540,0,0,110,5,0
46,0,217,1,0,141,1,2
24,0,1222,1,0,369,1,0
33,0,696,0,1,193,1,8
40,0,1327,1,1,76,2,0
36,0,167,1,0,57,1,0
35,0,221,1,0,150,1,1
44,0,22,1,0,265,2,0
66,0,747,0,0,203,3,1
43,0,136,0,0,363,7,0
40,0,1416,1,0,210,2,0
31,0,1987,1,0,55,2,0
59,0,2814,0,0,81,3,0
49,0,3608,1,0,231,1,0
41,0,7735,1,0,220,1,1
56,0,1504,1,0,66,2,0
42,0,603,1,0,298,5,0
35,0,275,0,1,144,5,0
43,0,-465,1,1,166,1,0
